Player,Position,Height,Location,Usual Side,Usual Defense
Emma Champagne,Split,"6' 1""","Ladera Ranch, CA",Both,Split
Ruby Cochrane,Block,-,"Hermosa Beach, CA",Both,Block
Addison Junk,Outside,"5' 9""","Redondo Beach, CA, CA",No Preference,-
Avery Junk,-,"5' 11""","Redondo Beach, CA",No Preference,-
Shayla Martinez,Defense,"5' 6""","Winnetka, CA",Both,Defense
Olga Nikolaeva,Defense,"5' 7""","Hermosa Beach, CA",Both,Defense
Nicolas Brazao,-,"6' 4""","Huntington Beach, CA",Right,-
Taylor Slover,-,-,"Visalia, CA",-,-
Xolani Hodel,-,"6' 1""","Huntington Beach, CA",-,-
Megan Kraft,-,-,"San Diego, CA",-,-
Ashley Pater,Split,"5' 9""","Bradenton, FL",Both,Split
Ian Carlson,-,"6' 6""","PARKER, CO",-,-
Kennedy Coakley,-,"6' 1""","Lutz, FL",-,-
Logan Mister,Split,"4' 6""","Saipan 🇲🇵, MP",Both,Split
Zach Schneider,-,-,"Lockport, NY",-,-
Gage Basey,-,3',"Lyons, CO",-,-
Lars Basey,Split,"6' 4""","Lyons, CO",Both,Split
Hamza Berrada,Split,"6' 6""","Dallas, TX",Right,Split
Tim Bomgren,Split,"6' 3""","Minneapolis, MN",Both,Split
Taryn Brasher,-,"6' 4""","Sioux Falls, SD",-,-
Seain Cook,-,"6' 2""","Hermosa Beach, CA",-,-
Evan Cory,-,"6' 4""","Metairie, LA",-,-
Trevor Crabb,-,"6' 5""","Hermosa Beach, CA",-,-
Kristen Cruz,-,-,"New Orleans, LA",-,-
Philip Dalhausser,-,"6' 9""","orlando, FL",-,-
Kylie DeBerg,-,"6' 4""","Hudson, IA",-,-
Lexy Denaburg,-,6',"Merritt Island, FL",-,-
Avery Drost,-,"6' 4""","Redondo Beach, CA",-,-
Miles Evans,-,"6' 4""","Santa Barbara, CA",-,-
Troy Field,-,-,"Mission Viejo, CA",-,-
Hailey Harward,-,"5' 9""","Long Beach, CA",-,-
Sara Hughes (FR 3926),-,"5' 10""","Costa Mesa, CA",-,-
Melissa Humana-Paredes,-,"5' 9""",-,-,-
Abigail Irwin,Split,-,"Delray Beach, FL",Both,Split
Megan J. Rice,-,"5' 11""","Hermosa Beach, CA",-,-
Macy Jerger,-,6',"Dana Point, CA",-,-
Andrew Johnson,Defense,"6' 1""","Saipan 🇲🇵, MP",-,Defense
Djordje Klasnic,-,"6' 4""","Hermosa Beach, CA",-,-
Paul Lotman,-,"6' 6""","San Diego, CA",-,-
Lexi Mckeown,-,"5' 11""","Aliso Viejo, CA",-,-
Toni Rodriguez (FR 3798),-,"6' 1""","Gardena, CA",-,-
Sean Rosenthal,-,-,"Hermosa Beach, CA",-,-
Spencer Sauter,-,"6' 8""","Redondo Beach, CA",-,-
Chaim Schalk,-,"6' 5""","Gardena, CA",-,-
Molly Shaw,-,"5' 8""","redondo beach, ca",-,-
Madison Shields,-,"5' 8""","El Dorado Hills, CA",-,-
Charlie Siragusa,-,"6' 8""","Webster, NY",-,-
Devanne Sours,-,"6' 1""","Crossroads, NM",-,-
Kamila Tan,-,6',"Hermosa Beach, CA",-,-
Geena Urango,-,"5' 9""","Los Alamitos, CA",-,-
Nicci Yardley,-,"5' 10""","Fountain Valley, CA",-,-
Tessa Van Winkle,-,"6' 2""","San Clemente, CA",-,-
Thomas Hurst,-,"5' 11""","Irvine, CA",-,-
Erica Brok,-,"5' 9""","Ormond Beach, FL",-,-
Kaeli Crews,-,6',"Winter Garden, FL",-,-
Andrew Guaragno,-,"6' 6""","Holmdel, NJ",-,-
Adam Hartmann,-,"6' 3""","cooper city, FL",-,-
Ally Batenhorst,-,"6' 4""","Hermosa Beach, CA",-,-
Paloma Bowman,-,"5' 10""","Torrance, CA",-,-
Pedro Brazao,-,"6' 4""","Huntington Beach, CA",-,-
Betsi Flint (FR 3868.5),-,"5' 10""","Los Angeles",-,-
Falyn Fonoimoana,-,"6' 5""","Hermosa beach, CA",-,-
Mischa Freystaetter,-,"6' 8""","Apex, NC",-,-
Amanda Harnett,-,"5' 10""","Los Angeles, CA",-,-
Katie Horton (FR 2766),-,-,"Tallahassee, FL",-,-
Taylor Hughes,-,"7' 11""","Round Rock, TX",-,-
Halle Hunt,-,"5' 11""","Greensboro, NC",-,-
Ryan Ierna,-,"6' 5""","New Orleans, LA",-,-
Maria Kliefoth,-,-,"Houston, TX",-,-
Alexander Koki,-,-,"Torrance, CA",-,-
Kaleo Nawahine,-,-,"Nampa, ID",-,-
Allison Olsonoski,-,-,"New Orleans, LA",-,-
Jay Panther,-,"5' 11""","Garden Grove, CA",-,-
Raffe Paulis,-,"6' 2""","REDONDO BEACH, CA",-,-
Ben Pearson,-,-,"Santa Cruz, CA",-,-
Delaney Peranich,-,"5' 9""","Manhattan beach, CA",-,-
Nate Pugh,-,"6' 5""","Starkville, MS",-,-
Will Rottman,-,"6' 5""","Santa barbara, CA",-,-
Jonah Seif,-,"6' 8""","Santa Barbara, CA",-,-
Jessica Smith,-,"6'0""","Laguna Niguel, CA",-,-
David Updegrove,-,"6' 3""","Santa Monica, CA",-,-
Hannah Volpi,-,-,"Metairie, LA",-,-
Sydney Wetterstrom,-,-,"Orlando, FL",-,-
Kyle Zelasko,-,-,"West Seneca, NY",-,-
,,,,,
,,,,,
,,,,,
,,,,,
Womesn Teams,,,,,
,,,,,
Abigail Irwin / Serah O'Keefe,,,,,
Addison Junk / Avery Junk,,,,,
Allison Olsonoski / Hannah Volpi,,,,,
Ally Batenhorst / Sara Hughes (FR 3926),,,,,
Anaya Evans / Torrey Van Winden,,,,,
Ashley Pater / Devanne Sours,,,,,
Avery Poppinga / Nicci Yardley,,,,,
Delaney Peranich / Tessa Van Winkle,,,,,
Ella Connor / Jessica Smith,,,,,
Emma Champagne / Shayla Martinez,,,,,
Emma Donley / Erin Inskeep,,,,,
Erica Brok / Kaeli Crews,,,,,
Hailey Harward / Xolani Hodel,,,,,
Halle Hunt / Rachael Kramer,,,,,
Hannah Frohling / Amanda Harnett,,,,,
